StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,H1,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,Q37,D1,D2,D3,D4,D5,D6,D7,Q43,group,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,Total,Easy,Medium,Hard,Very_Hard,Total_Pct,Easy_Pct,Medium_Pct,Hard_Pct,Very_Hard_Pct,Time_Lmt
24Mar2020 11:11:00,24Mar2020 11:17:00,IP Address,100,354,TRUE,24Mar2020 11:17:00,R_1oGPgtAiDt64kB5,anonymous,EN,I promise not to search the internet for answer to this survey.,2.403,299.94,300.04,58,7,11ft,180 degrees,Mary Shelley,Controls,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",John Robbins,24 horses and 50 humans,Rhode Island,Acura,60,Hydrogen,He warned her calmly that he would shoot her if she didn't keep quiet.,,Slightly challenging,Some college,Female,Much less stressed,"$0 - $9,999","Midwest - Minnesota, Iowa, Missouri, North Dakota, South Dakota, Nebraska, Kansas","Student, full-time",18 - 24,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 11:38:00,24Mar2020 11:43:00,IP Address,100,308,TRUE,24Mar2020 11:43:00,R_ZlR0A034eefQ2m5,anonymous,EN,I promise not to search the internet for answer to this survey.,3.034,238.007,239.972,58,7,10ft,180 degrees,Charles Dickens,Immobilizes,10,"significant in affecting the frequency of surgical errors, and already costs hospitals",Louis Cooper,24 horses and 50 humans,Maine,Toyota,60,Helium,He warned her calmly that he would shoot her if she didn't keep quiet.,144,Moderately challenging,4 year degree,Male,About the same,"$100,000 - $124,999","Mountain - Montana, Idaho, Wyoming, Colorado, New Mexico, Arizona, Utah, Nevada","Employed, working full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
24Mar2020 11:45:00,24Mar2020 11:50:00,IP Address,100,305,TRUE,24Mar2020 11:50:00,R_ePbj7BOsGIQAWCR,anonymous,EN,I promise not to search the internet for answer to this survey.,8.197,271.605,272.755,53,7,10ft,180 degrees,Mary Shelley,Immobilizes,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Jonas Salk,24 horses and 50 humans,Maine,Acura,84,Helium,He warned her calmly that he would shoot her if she didn't keep quiet.,24,Moderately challenging,Master's degree,Male,A little less stressed,"$75,000 - $99,999","Midwest - Minnesota, Iowa, Missouri, North Dakota, South Dakota, Nebraska, Kansas","Employed, working full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
24Mar2020 11:54:00,24Mar2020 12:00:00,IP Address,100,366,TRUE,24Mar2020 12:00:00,R_2YEwzJbiYzBLekX,anonymous,EN,I promise not to search the internet for answer to this survey.,56.826,289.136,300.115,12,7,10ft,180 degrees,Maurice Sendak,Immobilizes,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Cooper,24 horses and 50 humans,Michigan,Mercury,48,,,,Moderately challenging,4 year degree,Male,A lot more stressed,"$50,000 - $74,999","New England - Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut","Employed, working full-time",18 - 24,"Yes, and I'm not sorry.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 12:01:00,24Mar2020 12:06:00,IP Address,100,278,TRUE,24Mar2020 12:06:00,R_1q7CskRYBGAVMrP,anonymous,EN,I promise not to search the internet for answer to this survey.,2.266,228.101,228.903,32,7,10ft,180 degrees,Maurice Sendak,Immobilizes,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",,24 horses and 50 humans,Maine,Mercury,48,Hydrogen,,144,Extremely challenging,4 year degree,Male,A little more stressed,"$150,000 - $199,000","New England - Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut","Employed, working full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
24Mar2020 12:02:00,24Mar2020 12:06:00,IP Address,100,262,TRUE,24Mar2020 12:06:00,R_3KIW1twK6QS7Omk,anonymous,EN,I promise not to search the internet for answer to this survey.,2.936,230.047,230.779,25,7,10ft,160 degrees,Mary Shelley,Controls,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Cooper,24 horses and 50 humans,Michigan,Mercury,64,Uranium Dioxide,He warned her calmly that he would shoot her if she didn't keep quiet.,144,Moderately challenging,4 year degree,Male,A little more stressed,"$100,000 - $124,999","New England - Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut","Employed, working full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
24Mar2020 12:03:00,24Mar2020 12:09:00,IP Address,100,365,TRUE,24Mar2020 12:09:00,R_2assIvApbN1BDod,anonymous,EN,I promise not to search the internet for answer to this survey.,3.201,275.873,300.012,14,7,10ft,180 degrees,Mary Shelley,Tortures,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",John Robbins,24 horses and 50 humans,Maine,Acura,84,Uranium Dioxide,He said calmly that I shall shoot you if you don't be quiet.,,Moderately challenging,4 year degree,Male,A little more stressed,Prefer not to say,"Pacific - Washington, Oregon, California, Alaska, Hawaii","Employed, working full-time",45 - 54,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 12:03:00,24Mar2020 12:10:00,IP Address,100,419,TRUE,24Mar2020 12:10:00,R_8wu4ThKnnnDKPlL,anonymous,EN,I promise not to search the internet for answer to this survey.,3.753,254.065,300.023,14,5,12ft,180 degrees,Mary Shelley,Kills,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Pasteur,24 horses and 50 humans,Florida,Mercury,48,,,,Moderately challenging,Some college,Male,A lot more stressed,"$125,000 - $149,999","Pacific - Washington, Oregon, California, Alaska, Hawaii","Employed, working full-time",45 - 54,"Yes, I'm terribly sorry.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 12:12:00,24Mar2020 12:18:00,IP Address,100,382,TRUE,24Mar2020 12:18:00,R_1qgER69eAHMteO2,anonymous,EN,I promise not to search the internet for answer to this survey.,14.219,291.043,300.01,14,7,12ft,180 degrees,Edgar Allan Poe,Immobilizes,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Pasteur,24 horses and 50 humans,Maine,Acura,,,,,Extremely challenging,4 year degree,Other / Prefer not to say,A little more stressed,Prefer not to say,"New England - Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut","Employed, working full-time",18 - 24,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 12:15:00,24Mar2020 12:20:00,IP Address,100,291,TRUE,24Mar2020 12:20:00,R_1mJyiE1EpaAUbgm,anonymous,EN,I promise not to search the internet for answer to this survey.,1.907,180.784,181.176,16,7,10ft,180 degrees,Maurice Sendak,Immobilizes,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Jonas Salk,24 horses and 50 humans,Maine,Toyota,60,Uranium Dioxide,He warned her calmly that he would shoot her if she didn't keep quiet.,144,Moderately challenging,4 year degree,Female,A little more stressed,"$100,000 - $124,999","New England - Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut","Employed, working full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
24Mar2020 12:24:00,24Mar2020 12:30:00,IP Address,100,389,TRUE,24Mar2020 12:30:00,R_ZIbxIPZueuRU0xz,anonymous,EN,I promise not to search the internet for answer to this survey.,1.974,190.379,300.011,8,7,10ft,180 degrees,,,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",,24 horses and 50 humans,Maine,Acura,,,,,Moderately challenging,Master's degree,Male,A little more stressed,Prefer not to say,"Pacific - Washington, Oregon, California, Alaska, Hawaii","Employed, working full-time",35 - 44,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 12:39:00,24Mar2020 12:45:00,IP Address,100,362,TRUE,24Mar2020 12:45:00,R_31QSFAk7tiluITj,anonymous,EN,I promise not to search the internet for answer to this survey.,12.784,292.934,300.118,32,7,12ft,180 degrees,Mary Shelley,Tortures,10,"significant in affecting the frequency of surgical errors, and already costs hospitals",Louis Pasteur,24 humans and 50 horses,Maine,Toyota,,,,,Moderately challenging,Master's degree,Female,A little more stressed,"$125,000 - $149,999","Midwest - Minnesota, Iowa, Missouri, North Dakota, South Dakota, Nebraska, Kansas","Employed, working full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 12:40:00,24Mar2020 12:46:00,IP Address,100,370,TRUE,24Mar2020 12:46:00,R_2eaNPBD5ZiNp2kY,anonymous,EN,I promise not to search the internet for answer to this survey.,1.658,298,300.116,54,5,10ft,180 degrees,Maurice Sendak,Controls,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Jonas Salk,24 horses and 50 humans,Maine,Mercury,48,Helium,,,Moderately challenging,Some college,Male,A little more stressed,Prefer not to say,"Northeastern Midwest - Ohio, Indiana, Illinois, Michigan, Wisconsin","Student, full-time",18 - 24,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 12:42:00,24Mar2020 12:53:00,IP Address,100,644,TRUE,24Mar2020 12:53:00,R_30tSncq3KCMBLPG,anonymous,EN,I promise not to search the internet for answer to this survey.,13.328,277.266,300.135,13,7,12ft,180 degrees,Mary Shelley,Tortures,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Jonas Salk,,Michigan,Mercury,,,,,Moderately challenging,Doctorate,Female,A little less stressed,Prefer not to say,"Pacific - Washington, Oregon, California, Alaska, Hawaii","Employed, working full-time",35 - 44,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 12:50:00,24Mar2020 12:56:00,IP Address,100,389,TRUE,24Mar2020 12:56:00,R_1CHgBxtoAj2H7xV,anonymous,EN,I promise not to search the internet for answer to this survey.,5.8,292.5,300.05,25,7,12ft,120 degrees,Charles Dickens,Controls,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Pasteur,24 horses and 50 humans,Maine,Toyota,64,,,,Extremely challenging,4 year degree,Female,A little more stressed,"$125,000 - $149,999","New England - Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut","Employed, working full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 12:52:00,24Mar2020 12:57:00,IP Address,100,309,TRUE,24Mar2020 12:57:00,R_QcS8uve3hm04Os1,anonymous,EN,I promise not to search the internet for answer to this survey.,3.373,212.07,222.627,13,7,10ft,120 degrees,Mary Shelley,Tortures,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Pasteur,,Maine,Toyota,,Uranium Dioxide,He warned her calmly that he would shoot her if she didn't keep quiet.,,Moderately challenging,4 year degree,Female,A little more stressed,"$75,000 - $99,999","Eastern South - Kentucky, Tennessee, Alabama, Mississippi","Employed, working full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
24Mar2020 13:32:00,24Mar2020 13:39:00,IP Address,100,370,TRUE,24Mar2020 13:39:00,R_5nY3iPknWnUBX0d,anonymous,EN,I promise not to search the internet for answer to this survey.,2.951,293.338,300.017,13,7,10ft,180 degrees,Maurice Sendak,Immobilizes,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Pasteur,37 humans and 98 horses,Michigan,Mercury,64,Hydrogen,,,Very challenging,4 year degree,Male,A little more stressed,"$200,000 +","New England - Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut","Employed, working full-time",35 - 44,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 13:53:00,24Mar2020 13:59:00,IP Address,100,398,TRUE,24Mar2020 13:59:00,R_2U3pMWrGJN8kD7a,anonymous,EN,I promise not to search the internet for answer to this survey.,4.5,185.134,300.019,8,7,10ft,180 degrees,Edgar Allan Poe,Kills,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Pasteur,,,,,,,,Moderately challenging,4 year degree,Male,A little more stressed,"$50,000 - $74,999","New England - Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut","Employed, working full-time",18 - 24,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 13:58:00,24Mar2020 14:04:00,IP Address,100,347,TRUE,24Mar2020 14:04:00,R_3oO3bWVo8QWktgF,anonymous,EN,I promise not to search the internet for answer to this survey.,2.851,273.799,276.222,30,7,12ft,180 degrees,Mary Shelley,Tortures,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Jonas Salk,31 horses and 74 humans,Maine,Toyota,84,Hydrogen,He warned her calmly that he would shoot her if she didn't keep quiet.,24,Very challenging,Master's degree,Female,A little more stressed,"$200,000 +","Pacific - Washington, Oregon, California, Alaska, Hawaii","Employed, working full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
24Mar2020 14:12:00,24Mar2020 14:19:00,IP Address,100,408,TRUE,24Mar2020 14:19:00,R_XLDiqPrm94gLtUB,anonymous,EN,I promise not to search the internet for answer to this survey.,2.815,251.028,300.12,13,7,11ft,180 degrees,Mary Shelley,Controls,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",John Robbins,24 horses and 50 humans,Maine,Toyota,60,Helium,,,Slightly challenging,4 year degree,Male,A little less stressed,"$75,000 - $99,999","New England - Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut","Employed, working full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 15:51:00,24Mar2020 15:59:00,IP Address,100,441,TRUE,24Mar2020 15:59:00,R_3PZUzMIH3D7lbgA,anonymous,EN,I promise not to search the internet for answer to this survey.,11.432,261.136,300.022,16,7,11ft,180 degrees,Maurice Sendak,Controls,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Pasteur,24 humans and 50 horses,Maine,Toyota,,,,,Extremely challenging,4 year degree,Female,A lot more stressed,"$200,000 +","Mountain - Montana, Idaho, Wyoming, Colorado, New Mexico, Arizona, Utah, Nevada","Employed, working full-time",35 - 44,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 16:22:00,24Mar2020 16:30:00,IP Address,100,450,TRUE,24Mar2020 16:30:00,R_2SiDSm3lxsXJfX8,anonymous,EN,I promise not to search the internet for answer to this survey.,12.813,295.144,300.026,24,6,12ft,180 degrees,Charles Dickens,Immobilizes,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Pasteur,,,,,,,,Very challenging,High school graduate,Female,A little less stressed,"$25,000 - $49,999",Outside the USA,"Student, full-time",18 - 24,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 17:14:00,24Mar2020 17:20:00,IP Address,100,362,TRUE,24Mar2020 17:20:00,R_pgjyPICxfkFmbnj,anonymous,EN,I promise not to search the internet for answer to this survey.,12.588,234.396,235.385,42,6,10ft,180 degrees,Charles Dickens,Kills,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",John Robbins,31 horses and 74 humans,Maine,Toyota,64,Hydrogen,He said calmly that I shall shoot you if you don't be quiet.,24,Very challenging,4 year degree,Male,About the same,"$125,000 - $149,999","Midwest - Minnesota, Iowa, Missouri, North Dakota, South Dakota, Nebraska, Kansas","Employed, working full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
24Mar2020 17:21:00,24Mar2020 17:27:00,IP Address,100,369,TRUE,24Mar2020 17:27:00,R_3G6V32fUA6PVT2m,anonymous,EN,I promise not to search the internet for answer to this survey.,67.482,285.68,300.012,19,7,10ft,180 degrees,Mary Shelley,Controls,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",,,,,,,,,Moderately challenging,Master's degree,Male,About the same,"$200,000 +","Midwest - Minnesota, Iowa, Missouri, North Dakota, South Dakota, Nebraska, Kansas",Retired,55 - 64,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 17:37:00,24Mar2020 17:44:00,IP Address,100,408,TRUE,24Mar2020 17:44:00,R_1OTS9khbhfH4Iph,anonymous,EN,I promise not to search the internet for answer to this survey.,2.607,294.314,300.029,51,7,10ft,180 degrees,Mary Shelley,Controls,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Pasteur,,Maine,Toyota,,,He warned her to shoot if she didn't keep quiet calmly.,,Slightly challenging,4 year degree,Female,Much less stressed,"$50,000 - $74,999","Southern Atlantic - Delaware, Maryland, District of Columbia, Virginia, West Virginia, North Carolina, South Carolina, Georgia, Florida","Employed, working full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
23Mar2020 18:20:00,23Mar2020 18:25:00,IP Address,79,309,FALSE,24Mar2020 18:25:00,R_1jHSUZcxhrLPxqP,anonymous,EN,I promise not to search the internet for answer to this survey.,0.628,18.068,300.01,24,5,10ft,120 degrees,Mary Shelley,Tortures,6,"significantly affecting the frequency of surgical errors, which already are a cost to hospitals of",Louis Pasteur,37 humans and 98 horses,Florida,Bentley,84,Hydrogen,He warned her to shoot if she didn't keep quiet calmly.,12,,,,,,,,,,control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 18:21:00,24Mar2020 18:28:00,IP Address,100,371,TRUE,24Mar2020 18:28:00,R_2aE5YyWlq62JGSE,anonymous,EN,I promise not to search the internet for answer to this survey.,2.608,282.051,300.061,33,7,10ft,180 degrees,Mary Shelley,Kills,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Cooper,24 horses and 50 humans,Maine,Toyota,84,Methane,,,Moderately challenging,Doctorate,Female,A little more stressed,"$0 - $9,999","Midwest - Minnesota, Iowa, Missouri, North Dakota, South Dakota, Nebraska, Kansas","Student, full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
23Mar2020 18:36:00,23Mar2020 18:41:00,IP Address,79,305,FALSE,24Mar2020 18:42:00,R_3NVqxLFx7GsVqmw,anonymous,EN,I promise not to search the internet for answer to this survey.,4.283,31.299,300.011,3,5,,,,,,,,,,,,,,,,,,,,,,,,control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
23Mar2020 18:59:00,23Mar2020 19:04:00,IP Address,79,304,FALSE,24Mar2020 19:04:00,R_3r33sefY9TvsNDS,anonymous,EN,I promise not to search the internet for answer to this survey.,0.863,0.863,300.008,1,5,,,,,,,,,,,,,,,,,,,,,,,,control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 19:33:00,24Mar2020 19:40:00,IP Address,100,393,TRUE,24Mar2020 19:40:00,R_3h4HwSQHKR6fw7w,anonymous,EN,I promise not to search the internet for answer to this survey.,6.762,224.079,300.222,8,7,12ft,180 degrees,Charles Dickens,Tortures,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",John Robbins,,,,,,,,Moderately challenging,Master's degree,Female,About the same,"$200,000 +","New England - Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut","Employed, working full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 20:49:00,24Mar2020 20:51:00,IP Address,100,116,TRUE,24Mar2020 20:51:00,R_3iVxEk7yOIwwNNO,anonymous,EN,I promise not to search the internet for answer to this survey.,4.3,72.04,73.197,15,7,10ft,180 degrees,Mary Shelley,Controls,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Pasteur,24 horses and 50 humans,Maine,Acura,60,Methane,He warned her calmly that he would shoot her if she didn't keep quiet.,24,Moderately challenging,Less than high school,Male,Much less stressed,Prefer not to say,"New England - Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut","Student, full-time",Under 18,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
